2024-03-04 00:51:42,894 INFO    Thread-110 (_run_job):19963 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_setup.py:_flush():76] Configure stats pid to 19963
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_setup.py:_flush():76] Loading settings from /home/sadbhawna/.config/wandb/settings
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_setup.py:_flush():76] Loading settings from /home/sadbhawna/Desktop/cs6910_assignment1/wandb/settings
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'cs23d014_assignment_1', 'entity': 'cs23d014', 'root_dir': '/home/sadbhawna/Desktop/cs6910_assignment1', 'run_id': 'ahbima3p', 'sweep_param_path': '/home/sadbhawna/Desktop/cs6910_assignment1/wandb/sweep-6pthjy91/config-ahbima3p.yaml', 'sweep_id': '6pthjy91'}
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'sweep_functionality.py', 'program_abspath': '/home/sadbhawna/Desktop/cs6910_assignment1/sweep_functionality.py', 'program': '/home/sadbhawna/Desktop/cs6910_assignment1/sweep_functionality.py'}
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_init.py:_log_setup():526] Logging user logs to /home/sadbhawna/Desktop/cs6910_assignment1/wandb/run-20240304_005142-ahbima3p/logs/debug.log
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_init.py:_log_setup():527] Logging internal logs to /home/sadbhawna/Desktop/cs6910_assignment1/wandb/run-20240304_005142-ahbima3p/logs/debug-internal.log
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_init.py:init():566] calling init triggers
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_init.py:init():573] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 256, 'dataset': 'mnist', 'epochs': 15, 'eps': 1e-06, 'hidden_size': 128, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'rmsprop', 'wandb_project': 'cs23d014_assignment_1', 'weight_decay': 0.3, 'weight_ini': 'Xavier Normal'}
config: {}
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_init.py:init():616] starting backend
2024-03-04 00:51:42,895 INFO    Thread-110 (_run_job):19963 [wandb_init.py:init():620] setting up manager
2024-03-04 00:51:42,902 INFO    Thread-110 (_run_job):19963 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-04 00:51:42,902 INFO    Thread-110 (_run_job):19963 [wandb_init.py:init():628] backend started and connected
2024-03-04 00:51:42,914 INFO    Thread-110 (_run_job):19963 [wandb_run.py:_config_callback():1343] config_cb None None {'activation': 'relu', 'batch_size': 256, 'dataset': 'mnist', 'epochs': 15, 'eps': 1e-06, 'hidden_size': 128, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'rmsprop', 'wandb_project': 'cs23d014_assignment_1', 'weight_decay': 0.3, 'weight_ini': 'Xavier Normal'}
2024-03-04 00:51:42,915 INFO    Thread-110 (_run_job):19963 [wandb_init.py:init():720] updated telemetry
2024-03-04 00:51:42,921 INFO    Thread-110 (_run_job):19963 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-04 00:51:43,575 INFO    Thread-110 (_run_job):19963 [wandb_run.py:_on_init():2262] communicating current version
2024-03-04 00:51:43,738 INFO    Thread-110 (_run_job):19963 [wandb_run.py:_on_init():2271] got version response 
2024-03-04 00:51:43,738 INFO    Thread-110 (_run_job):19963 [wandb_init.py:init():804] starting run threads in backend
2024-03-04 00:51:55,809 INFO    Thread-110 (_run_job):19963 [wandb_run.py:_console_start():2241] atexit reg
2024-03-04 00:51:55,809 INFO    Thread-110 (_run_job):19963 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-04 00:51:55,809 INFO    Thread-110 (_run_job):19963 [wandb_run.py:_redirect():2161] Wrapping output streams.
